Time,CBR,DropTail/Reno,DropTail/Sack,RED/Reno,RED/Sack,DropTail/Reno,DropTail/Sack,RED/Reno,RED/Sack
0,0,4.485,4.485,4.485,4.485,32.82,32.82,32.82,32.82
1,0,5.084,5.084,5.084,5.084,32.59,32.59,32.59,32.59
2,0,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
3,0,5.084,5.084,5.084,5.084,32.59,32.59,32.59,32.59
4,0,5.067,5.067,5.067,5.067,32.59,32.59,32.59,32.59
5,0,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
6,0,5.1,5.1,5.1,5.1,32.59,32.59,32.59,32.59
7,0,5.05,5.05,5.05,5.05,32.59,32.59,32.59,32.59
8,0,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
9,0,5.117,5.117,5.117,5.117,32.59,32.59,32.59,32.59
10,5.84,4.019,4.019,4.168,4.168,41.14,41.14,39.7,39.7
11,6,4.002,4.002,3.461,2.721,41.6,41.6,37.36,38.18
12,6.008,3.994,3.994,3.694,2.729,41.6,41.6,36.87,37.43
13,6,4.002,4.002,3.395,2.712,41.6,41.6,35.85,38.46
14,5.992,4.002,4.002,3.395,2.754,41.6,41.6,35.89,38.94
15,6,4.002,4.002,3.644,2.804,41.6,41.6,37.99,38.79
16,6.008,3.994,3.994,3.553,2.612,41.6,41.6,35.89,36.19
17,6,4.002,4.002,3.727,2.746,41.6,41.6,37.76,39.07
18,5.992,4.002,4.002,3.478,3.786,41.6,41.6,35.86,38.84
19,6,4.002,4.002,3.411,2.879,41.6,41.6,35.78,37.27
20,6.008,3.994,3.994,3.444,1.939,41.6,41.6,37.41,36.78
21,6,4.002,4.002,3.711,3.744,41.6,41.6,36.93,38.02
22,6,4.002,4.002,2.221,2.28,41.6,41.6,36.01,36.91
23,5.992,4.002,4.002,2.371,3.187,41.6,41.6,39.73,37.6
24,6,4.002,4.002,3.228,2.729,41.6,41.6,38.38,37.65
25,0.16,5.075,5.075,3.478,5.084,32.65,32.65,32.82,32.63
26,0,5.117,5.117,5.075,5.108,32.59,32.59,32.59,32.59
27,0,5.117,5.117,5.075,5.125,32.59,32.59,32.59,32.59
28,0,5.084,5.084,5.158,5.075,32.59,32.59,32.59,32.59
29,0,5.117,5.117,5.092,5.117,32.59,32.59,32.59,32.59
