BW,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas
1,2.075,1.756,2.9,1.792,37.92,38.09,37.69,38.13,2.36,1.67,0.74,0.53
2,1.336,1.321,2.824,2.026,37.86,40.12,36.91,36.95,2.9,1.24,1.4,1.25
3,1.383,0.822,2.561,1.774,38,44.9,36.96,36.99,2.36,3.45,1.28,1.87
4,1.381,1.17,2.183,1.059,38.61,40.43,37.87,40.64,2.34,3.03,1.81,2.76
5,1.611,0.534,1.93,0.664,38.57,51.07,37.84,47.69,2.13,5.64,1.77,8.39
6,1.253,0.652,1.576,0.87,40.31,46.26,39.22,42.38,2.97,4.85,1.35,5.25
7,0.872,0.905,1.155,0.715,43.86,42.67,41.04,43.86,3.47,3.37,4.04,4.69
8,0.546,0.228,0.329,1.206,49.59,83.73,69.51,39.94,8.71,13.29,13.54,1.82
9,0.466,0.233,0.308,0.242,56.01,83.82,65.29,70.24,10.79,16.27,15.91,12.5
10,0,0,0,0,,,,,,,,
